Name,Tokens
Oman Au,may plateau shrine great refer monk eponymous designed ancient 
Owa Daim,may plateau shrine great refer monk eponymous designed ancient 
Rohta Chigah,ballad year prior exclusively great ganon became role monk slate appear fade serf away n wish sheikah entered goddess pack completes champion someone point trial fulfilled body name reward orb following character ostracism ex enters prepare main quest first ancient spirit dlc calty breath well wild threat shrine 10 bearing praise greeted offered help 000 constructed activated 
Ruvo Korbah,ballad year prior exclusively great ganon became role monk slate appear fade serf away n wish sheikah entered goddess pack completes champion someone point trial fulfilled body name reward orb following character ostracism ex enters prepare main quest first ancient spirit dlc calty breath well wild threat shrine 10 bearing praise greeted offered help 000 constructed activated 
Yowaka Ita,ballad year prior exclusively great ganon became role monk slate appear fade serf away n wish sheikah entered goddess pack completes champion someone point trial fulfilled body name reward orb following character ostracism ex enters prepare main quest first ancient spirit dlc calty breath well wild threat shrine 10 bearing praise greeted offered help 000 constructed activated 
Aliza,standing aforementioned resident preemptively uld hearing acquiring acknowledging outskirt even forest meeting first talking sacred status wild acknowledges drop large initially confirms day seeing encounter inform however characterized found diligently refers try owner sword carrying side heard reward request weather assertion legend upon meet random completely doubt awaiting wait ever without regardless belief insisting rest inquires east later lost excited prompting stand talk tree speak hyrule scold star tell fragment breath hero way receives truly speaks send put though legendary beneath return state backtrack story stop job back excitement character denies mood approach stranger rewg quest smitten interrogate time stable say 
Benny,asks speaks d something behind rock great mabe cooking northen use dangerous found n best top high reminds nearby field thing small point interest somewhere pot vantage character talk explains run hyrule monster rare spotting treasure comment appearance tell traveling area feel prairie survey ingredient breath want person wild surprised woman adventurer way take continues worth another mesa looking encouraging 
Bosh Kala,may shrine refer hyrule monk field eponymous designed ancient 
Botrick,purchase offer crest corner glimpse population purpose stating saving travel equipped protection danger unconscious tabantha like carry condition warns protects engage call reach special weird outskirt watchman due even fact repay either towards insight southwest presence attempt necry lantern along smell combat attempting surrounding passively various look wild rise advice southwestern rumor result watching help large available discounted share attacked powerful pping arrow described equip claiming serve watch buy inform history appear found people safe must make guardian needed kind order knoll desert sheikah detertion mountain situation ground sword point side lead reward also sudden run rain satori migration change ut work comment suspension turn deadly bridge still fight neither cheaper purchased go bribe price cover retrieving backpack traveler continues begrudge 00 adventure additionally ruin upon remain food spoken inside mus weaponry catch none something gear embarrassed occur wait dangerous without rest corresponds creature road mention ability east sheathe sunset stand caution talk patrol assist rescued second disbelief hyrule monster afterwards require appears seemingly determined distance saved tell warn suggests passed north breath counseling threat approached inventory announce 9 inhibits currently way fund depending plagued traveling pm increase west fork speaks shield though night duty account third armor return sell n anyway chance whenever wearing stop rito begin high resolve recite self instead field village knocked selection head amount digdogg rate character relatively properly tower certain approach refuse coliseum building area thank express wooden castle lord resting frantically returning space informs time take stable south approaching pass used informing frontier 
Canni,full offer though fully affection gear rider enough strong agree inform caring however without like graceful employee job bond apologize outskirt excited character approach refuse attempt lovely change horse handled similarly tell interested mane become whose breath wild needing check embry time help developed stable traveler giant large claim fit realized spend 
Dah Kaso,restoration year prior great ganon became role monk slate fade serf away n see wish sheikah entered goddess named completes trial someone champion fulfilled body name reward orb following character ostracism enters prepare article resurrection first ancient spirit calty slumber breath well wild threat shrine 10 bearing praise greeted offered help 000 constructed activated 
Dai,equipped actually slay wall battle presence trembling consequently first bid 100 attempting wild midnight farewell initially blame however asleep found defeating valued situation sword scout entrance resume rain raining go traveler 00 suggest ruin upon inside behind weaponry outside explain guard dreng terror second chide monster afterwards tell breath speaking hide spooked speaks shield rupee activity return n fisherman near silver defeat character trouble coliseum boast treasure fall area give skill 05 time wake handle scaring looking 
Gotter,asks beside giving inn eating beautiful like reading resides recipe remaining search struck would horizon ancestor either practice necry consequently enter visit alterively 100 compare wild environment praise muse zelda cuisine worked man sandbar claiming found fulfill needed favored guardian order valued completes try guest point side pot experience number request hear beauty ostensibly also consuming chef obtaining work complies citation adrline cooking upon food inside agrees outside might read obsessed wait explain latter regardless rest compliment inner asking mention minister dream champion decadent royal second ask hyrule prepare afterwards monster cake recommend tell appearance feature exemplary breath x endless fruitcake walk delicious speaking spotted riverside rush speaks night though rupee enjoyed return whether fly book n library begin resolve gift noting silver complete character indulge quest culinary one give skill castle pause pleasant millennio stable recreating 
Haite,offer night big day seen sit outside listen around strong tag state playing remark bad get stop inquires wish begin floor life join game outskirt point continue pot character evening bolt talk eat hoping run rain weather let girl sleep become breath indoors wild soon vegetable stable running cooking dinner 
Kaam Ya'tak,may shrine refer hyrule monk field eponymous designed ancient 
Katah Chuki,restoration year prior great ganon became role monk slate fade serf away n see wish sheikah entered goddess named completes trial someone champion fulfilled body name reward orb following character ostracism enters prepare article resurrection first ancient spirit calty slumber breath well wild threat shrine 10 bearing praise greeted offered help 000 constructed activated 
Monya Toma,may shrine refer hyrule monk field eponymous designed ancient 
Myti,asks food standing offer assistance inside night sit serve around decline explain use asleep found like employee inquires expected begin roof join guest would outskirt later head pot shelter character evening talk stay prepare instruct speak rain attempt fall late tell sleep breath 6 wild direction raining next embry 05 midnight vegetable take stable lone suggest used cooking dinner table 
Namika Ozz,restoration year prior great ganon became role monk slate fade serf away n see wish sheikah entered goddess named completes trial someone champion fulfilled body name reward orb following character ostracism enters prepare article resurrection first ancient spirit calty slumber breath well wild threat shrine 10 bearing praise greeted offered help 000 constructed activated 
Noya Neha,restoration year prior great ganon became role monk slate fade serf away n see wish sheikah entered goddess named completes trial someone champion fulfilled body name reward orb following character ostracism enters prepare article resurrection first ancient spirit calty slumber breath well wild threat shrine 10 bearing praise greeted offered help 000 constructed activated 
Parcy,asks offer health seen alongside equipped ruby uld hearing goron like wonder see item resides call sta search tasked explaining better recklessly along dock first enter 100 note swimmer various wild advice behavior sitting offered result weapon prepared ember topaz arrow water prior pas swim offering inform feeding gold asleep torso two make harmed guardian comfortable sheikah completes mountain sailing side favorite lead reward hear zora upset entrance also via explains completing moat accepting go passage traveler series another additionally difficult food upon something inside year act agrees gear waterfall decline restores explain use without dangerous yell stone guard wish joke destroy asking luminous thanking east flying continue bringing p royal second ask recognize hyrule sapphire tell entry marked mumbling suggests north breath counseling exchange planning hero way charge gerudo speaking riverside speaks night bravely rupee entering armor strong return option oting n decides library horseback wearing rito gem character personal style eye quest treasure fall thank one castle declares returning covering rude bed gate looking wake stable used method 
Rota Ooh,may shrine refer hyrule monk field eponymous designed ancient 
Saas Ko'sah,restoration year prior great ganon became role monk slate fade serf away n see wish sheikah entered goddess named completes trial someone champion fulfilled body name reward orb following character ostracism enters prepare article resurrection first ancient spirit calty slumber breath well wild threat shrine 10 bearing praise greeted offered help 000 constructed activated 
Toffa,asks seen custom muttering beautiful like describes outskirt told register domesticating indescribably registration first horse stallion wild fantasy man encounter seeing equip atop found pure nearby registering princess telling urge side request entrance explains work may immediately suspect goose additionally upon catch agrees hill riding around made grow excited exclaim royal ask hyrule afterwards sight breath w safula elderly grazed return fly saddle dejectedly begin task gift near character en mutter denies likely grandfather quest thank chase returning thanks joy bridle woman stable white say claimed descendant 
Trott,keep offer purchase seen giving hard surroundings per actually eating wonder weariness like rear hand outskirt enforces following improves attempt front juice horse first secret smell combat sharing apiece whose information wild consequence provide offered desire day inquire weary atop listen buy inform however make break citing predontly aroma mountain hunt situation guest point side providing beginning upset also completing react migration satori work still grown learn seared accept direct additionally full upon meet something pacing agrees sneaking prefers place around craving explain without opportunity grow le cooked association dream wreckage excited nothing promised ask recognize rare tomorrow tell meat hunting breath direction owning inventory embry vegetarian three speaking woe ideal speaks icy home rupee waving perfect return piece end pay employee get job begin flavor resolve greeting enthusiast silver raw character gourmet bos mood refuse aspiration scent prime quest area diet give resting dramatically lord returning overworked occasionally sated complain value take stable diminished walking 
Wahgo Katta,may shrine refer hyrule monk field eponymous designed ancient 
Zalta Wa,may shrine refer hyrule monk field eponymous designed ancient 
Branli,asks keep offer liability according effective meter uld snowquill gravity initally see compensate considers game event due agreeing stuck towards refer first tunic note bird wild arm mini relents help several free weight man participating far day however found study make glide inexplicable top sheikah ground point small reward vantage upset also run still researcher well observe trouser capability 600 rose think agrees different goal without le assistant flying thing encourages excited fee reaction seemingly distance flight mind breath heavy capable participate purple charge assumes learning though rupee wingspan rt perfect return trapped fly n get rito hurting flap based could 21 wear research silver character relatively tower refuse ridgeland discovering one give since want 20 accident realizes step 450 dedicated method 
Konba,rupee challenge race found two mount top reluctantly reward rhoam character friendly camped breath wild approached beat check 50 footrace flag 
Maag No'rah,speaks restoration year prior great ganon became entering role monk slate fade serf away n see wish sheikah entered goddess named champion someone fulfilled body reward orb following character ostracism enters prepare article resurrection first ancient blessing spirit calty slumber breath well wild threat shrine 10 bearing praise greeted offered overcoming help ordeal 000 constructed activated 
Mijah Rokee,restoration year prior great ganon became role monk slate fade serf away n see wish sheikah entered goddess named completes trial someone champion fulfilled body name reward orb following character ostracism enters prepare article resurrection first ancient spirit calty slumber breath well wild threat shrine 10 bearing praise greeted offered help 000 constructed activated 
Mogg Latan,may ridge shrine refer hyrule monk eponymous designed ancient 
Shira Gomar,remain ballad year prior exclusively great ganon divine became third monk slate state appear fade serf rewarded n away must vah sheikah entered goddess pack completes champion someone point trial beast body emblem name reward following character collect ostracism ex second enters prepare main afterwards quest first tell ancient dlc calty many breath wild threat shrine 10 bearing praise greeted song offered medoh go help three 000 constructed activated 
Toh Yahsa,may ridge shrine refer hyrule monk eponymous designed ancient 
Yunobo,lower responsible repeated overlooking yu rock caught protection uld away goron fire vah learns slide sore hinder ahead whistle cancellation remembers abandoned stationed defend either stay lot plan crater first secret despite skeptic wild blast surprised soon effort help staring free braver attacked saying d vault however working found deploys cannon notice city life mountain nearby death small eldin lead also run rain save work comment sneak bridge still may discouraged go able acting pair recognizes learn tandem forced young something meet behind think act delivers painkiller operates around bomb wait use rescuing scale control assistant champion beast encourages always monster news tell board last north although breath house hero hideout way w walk cancel rudania attack morning divine waving detoing drive return trapped left cooperate devise whenever operate stop cause begin hurting back failed defeat region character cannonball arrives approach magma sentry fall one spirit mine weaken feel panic want calm thanks using together progress realizes edge descendant 
Ashe,asks commerce seen giving lifted indicate deep gather actually away beautiful see anyone warns firewood remembers would describes due forest following stay fog ure boy asked culture new surrounding look wild several saying day great past climbing watch deal however found people never grandchild kingdom goat mountain climate telling death eldin also work pen many blowing crenel recommends face traveler know young something outside hill place akkala dangerous belief largest wind mention lost describing recount talk assist maw hyrule tell north breath woodland suddenly direction rtage sure including venturing navigating wood speaks night identify though started come center live fly left story care field foothill ran back head region character town area one figure scorching sleep castle clue time stable white south say considers used looking 
Axyl,mumble night spoken child day home southern divine according listen around bite however dangerous found uld goron n wonder see secretly vah warns city ahead mountain gem tarrey father intends death gorons beast eldin encourages due dig adult pickaxe sightsee character eat hear already also town play statue area tell goodbye mine leaf sleep breath roll wild canyon surprised together go able really summit way dismissive say another rudania 
Bladon,keep harder rock believed actually goron inspired condition first secret instructs wild digging claiming roast unable however ulder must ding needed cannot city life phase hunger also mystery proud chronic furious cliff strength gortram upon ruin excuse admits belief tunnel hidden invigorates continue dig discovered cook breath house cured shrine hero younger speaking similar cheer though home concerned slack return brother left train rtly begin near revealed back brings gorko character bring arrives quest discovering excavating give ancient called using say claim collasped 
Bohrin,night though spoken morning day beneath southern divine elderly past strong explain asleep working found much goron dangerous vah made alone warns older tired ore city road tarp profit mountain appeared ahead straight death gorons back eldin beast even miner following character lot also explains work area give mine fight still waking sleep asked breath may wild canyon direction sold go summit entire result shift used rudania young 
Boldon,seen difference flat uld ruined goron vah gorons plan elixir along visit defensive tourist wild position problem share trail hot found crazy fought two make muscle city climate reward also spring comment everyone well recommends traveler another spoken admits lately lanayru enemy east beast stomp confused line hyrule em tell visiting noticeable breath woodland threat fewer dish walk assumes rudania cold west put divine come heading armor ternio dividing get hunter foothill wear near back head region character tourism fireproof treasure ambassador scorching castle plunder flamebreaker together add stable say walking 
Breen,full offer though fully affection gear rider enough strong agree inform caring however without like graceful employee job bond apologize would excited character approach refuse attempt lovely change horse handled similarly tell interested mane become whose breath woodland wild needing check time help developed stable traveler giant large claim fit realized spend 
Daqa Koh,may canyon shrine refer monk eponymous designed ancient eldin 
Dayto,asks choosing travel debate danger choice uld wonder carry ahead spot comedian even unsure either crossroad elixir along sweating flee look wild meal zelda initially man fear far seeing encounter past found people two make sits cannot daughter try mountain bothered appeared death sword also nap run 3d 1951 save fight williams right hit check raining go need struggle traveler series table american withstand gero inside obtain decide belief made enemy rest map believing east quit scared continue describing pond 2011 ocarina maw monster appearance encountered breath hero decision way respite known drenched commercial west robin shield though night sweat love rupee heading whether end sell n hunter traverse heat based could foothill back journey name 2014 indecisive character route actor fireproof one give sleep difficulty want since thanks occasionally worry time take stable going walking method asserts 
Dorill,asks hard goron laugh burned vah everything profit would miner eager along first target wild summit d day great admiration order driven city ore son mountain nearby death eldin also explains motivated happiness work comment many whole direct southern spends much rest especially rather beast encourages possible company dig warn breath direction way rudania speaks night though divine highly piece sell therefore get group care gem head thousand character bos arrives one give mine express sleep canyon prosperous take mining 
Douma,asks purchase becomes annoyed going inn away see vah item good ped reach due beckons relieved plan peddler introduces first statue visit asked freak wild watching initially boring within abundance described reveals wherever reef buy however rice found mouth kingdom break enjoys nearby zora also explains rain met work chill go able nice supposed know merchant another trout meet spoken think remark yes much lanayru spoke road ruta thing beast prince strange seabed recognize hyrule rare stocking sizzle tell sight stopped suggests wetland sasan breath sightseeing planning way w traveling fork night though divine return follow n looker calmed get irritated self cute instead near ran head name purchasing region character coral river enjoy area buying feel sleep want since domain said question say take considers common 
Drak,keep asks yu danger uld goron wonder carry vah warns abandoned due miner explaining appointed discourages first asked extend wild crusher went help vault hot past watch found people returned never cannon city climate eldin beginning also explains grew many bridge suspicious putting cobble vowel go hotter explosive inside painkiller dangerous noticeably infestation slur asking beast rescued ask monster main retrieve tell suggests north breath saw rudania speaks active divine get back character stranger approach rudaniah quest area mine scorching canyon informs touch used closest 
Dugby,promise something night keep d spoken child day water come initiate yelled confirms hot around unable however dangerous found buried goron submerged gargle see decides mouth ding word mountain nearby drillshaft near death clearer side eldin reward duby determine visited character mutter stay spring grandfather gurgle let quest treasure secret one tell underwater turn sleep bridge skeptic although breath amazed true wild canyon swing competes longest go beat direction check sitting weapon another 
Fin,upon asks shield pressuring offer seen come agrees hill buy autically slacking however remark found apologizes n gang belief round made best top road call point head excited back scoping character tree breaker member surg refuse talking one camped junkie breath want accuses wild chill transported trilby friend plain cramping vibe know several say initially 
Gaile,asks night spoken day concerned catch rupee 150 outside heading becomes hot past sweeping enough buy sell found goron checkpoint fire see get decides needed like two warns city foothill climate pot region character second 60 elixir front dressed fireproof work one protect breath wild planning woman sitting recommends citation stable least three 110 cooking 
Gonguron,upon keep cheer home digging rock referring overbearing enough return roast brother left believed however leaving found actually goron gongoron rtly needed tunnel ding invigorates older begin cannot city life cooked energy near revealed continue phase brings discovered gorko character confused hourglass hunger arrives bring mystery deliciously phantom first secret quest excavating tell eats give comment grilled ancient collapsed breath look wild inspires house shrine hero furious citation cliff speaking fliar gortram ish 
Gorae Torr,speaks restoration year prior great ganon became entering role monk slate fade serf away n see wish sheikah entered goddess named champion someone fulfilled body reward orb following character ostracism enters prepare article resurrection first ancient blessing spirit calty slumber breath well wild threat shrine 10 bearing praise greeted offered overcoming help ordeal 000 constructed activated 
Grapp,hotter water incredibly divine hot elderly past prevent armor bomb unable advance however bathe uld found much goron like away admits anyway vah needed regardless wearing warns taking ahead would point beast eldin due bath character stay also pool magma spring set lukewarm one tell express area impressed feel bridge lowered breath wild inaccessible flamebreaker disturbed sitting citation rudania dislike 
Jengo,night day alongside southern divine prefers goron vah break mention gem mountain appeared death gorons beast eldin miner character bos speak forcing work tell mine information breath wild canyon summit disturbed shift take focused used rudania 
Kairo,limited yu sometimes hot travel gratitude buy sell found low goron wonder away item road mountain gem mention near death selection decided fairly eldin character dug spring maw world rain rare monster route along fireproof elixir work save grew traveling give encountered breath well wild canyon price hero friend bored merchant used walking 
Karsh,breath character wild 
Kayra Mah,may canyon shrine refer monk eponymous designed ancient eldin 
Kima,asks offer spoken catch southern initiate rupee cooking hot armor lizard fast return buy however found pay admits returned goron make searching heat city try could wear climate telling decided head forgot eldin side bringing brings region character bring every stay intensely catching refuse also monster helm resistant afterwards extra elixir fireproof quest souvenir part give mine tell difficulty protect trip breath wild flamebreaker roundup 10 20 advice requested three man 
Kish,asks offer meet upon attract inside limited catch rupee across whether saddle support uld cost hearing like range rest word seeking incoming owner guest would noting conservation fee name allow teach character paying stay whistling register also ask hyrule registration officially horse first parting board new breath woodland wild companion person 20 bridle effort cover take stable receives traveler know making charge direct network 
Mayro,d inside unusual initiate southern valley enough composition provides left found regular admits people displayed depicted ding stop painted cannot landscape lodge owner wall foothill hand would side captivated eldin even visited character depicts hear already every bit world appears quest determined comment ancient explore breath wild painting direction surprised shrine go clue trilby add stable realizes admiring speaking question looking 
Mirro Shaz,may canyon shrine refer monk eponymous designed ancient eldin 
Mo'a Keet,may canyon shrine refer monk eponymous designed ancient eldin 
Molo,asks speaks matter day referring ignore input completely living pursues around danger complains blind ever rich regular returned get sits coming raiding brimming life patio believing reason abandoned struck advise somewhere northern character either easy lurk certain also hyrule drinking monster weather lavishly dock treasure enter area bid give tell ancient castle one mug swarming breath conflicted woodland wild rumored shrine advice decision farewell went way clear face obstacle stable say take add claim supposed 
Offrak,offer withstand night rolling child rupee around buy sell observes asleep found goron n get woken palace heat city business character upset refuse 60 elixir fireproof one falling late breath since wild need savvy protein 
Ozunda,asks offer uld hearing like range depiction word landscape would stay register hobby registration horse first parting new surrounding whose wild effort making across provides support ding seeking incoming owner guest conservation depicts also painter hung painting involved cover traveler know attract direct network upon meet inside behind limited catch rest artist lodge fee teach paying whistling ask hyrule officially hint board breath shrine receives charge rupee whether saddle cost foothill noting name allow character quest person companion 20 bridle take stable 
Qua Raym,may canyon shrine refer monk eponymous designed ancient eldin 
Russ,asks purchase shield think perfect buy n gang discussing would selection character breaker member surg hyrule one tell castle breath wild friend rumor consisting used 
Sah Dahaj,may canyon shrine refer monk eponymous designed ancient eldin 
Shamae,desire long float asks promise put day skyloft initiate big sky attaching enough live riding watch fly found people overjoyed loftwings belief confesses high completes octo patio could onto dream side allowing request character also promised barrel balloon refer got weather star quest little work treasure tell give one visit flight girl land fragment ancient breath instructs woodland wild may bird next really reference clear ago help stable realize used 
Shora Hah,may canyon shrine refer ra monk eponymous hah designed ancient eldin 
Tah Muhl,may canyon shrine refer monk eponymous designed ancient eldin 
Zorona,legendary place solved riding buff however koroks found much lake skull hidden detely bone self mountain nearby mention near trying death pond eldin heard zelo forest character korok p equipment also fang mystery hyrule along horse area castle curious north breath deduces wild canyon proclaimed rumor traveler learn location spotted claim 
Aji,mainly rock becomes losing goron like item box store gorons due eat upbringing tourist extremely intended wild look surprised result lack buy appearing however text top city general mountain ground death small also run grilled merchant cooking table upon food something long customer lament admits placing rest palace stone platform cooked asking campfire possible stand cook p visiting breath speaking grill similar cked beg state sell decides get heat slab selection manner head allow character intense since time comically question normally heated protein 
Bargoh,asks yu surroundings danger goron like carry vah abandoned due tasked following rduania first enter wild crusher gone several making pas climbing watch however appear people city mountain death eldin emergence also part leaf bridge may cobble go whereabouts learn suggest direct something course guard looked allows later lost beast stand monster speak main tell north breath house sure shrine rudania started divine heading calmed get stop job happened high near back character quest mine feel since time pass 
Bludo,asks keep overlooking yu rock annoyance saving protection choice uld away goron like wonder see vah invokes reach abandoned describes gorons told attempt throw statue despite dlc note tease wild surprised descended entrusts memory went conversation ago staring start realized seemed d ballad hurt great valley unable downloaded inform however roast working partner boulder returned starting terrorizing break top cannon city life small point sword eldin number carved hear populace usually also entrance explains addition many fight bridge power well go able acting interrupted tandem know thus cliff another forced kept gortram long meet represents inside think act painkiller operates around mean chest shanty use done healed waiting stone yet control taking ability champion thing later beast company single ally confused always already breaker ask distance retrieve tell responds north although breath suddenly house planning cancel rudania ref send divine drive return end whenever operate group story rito pack could back region character en cannonball bos arrives let maybe treasure spirit mine leave confident want thanks using gate add say founder mining realize used bard descendant 
Fugo,keep offer according eagerly goron learns warns art reach defeated even plan secret 100 apprentice wild surprised next success start day answer however working found fought defeating confide training cannot city life tired sleeping assigned side stronger hope also explains work part stead may respect go learn young upon long outside around lament goal wish grow road someone later every speak monster tell suggests breath darunia exchange house alive way rupee come return lake decides get achievement successor could courage silver back defeat false character blacksmith approach carefully quest one ancient give openly returning else question realizes 
Krane,asks seen money away goron vah reason would business gorons western told either lot selling elixir first interested information tourist wild answer referring hot watch buy people make notice city entrance set change comment become recommends recognizes grown long meet food lizard different remark much admits lately champion lost beast stand confused monster visiting responds breath terrible rudania speaks divine piece understand n based gem pretending brings character mishear greet fireproof give driving flamebreaker pleasure time add pass 
Pyle,hotter started divine directs armor ever sell goron employee vah laid city life cut general appeared mountain near climate death move beast company miner western character stand emergence p entrance selling response also explains ask bos set fireproof area asked ed breath since wild direction flamebreaker add traveler shredded grown mining question forced used rudania 
Ramella,asks offer influence ruby sand inn uld goron vah wanting jewel us search store business selling elixir freed snow wild rollin topaz considering higher day chosen initiate ganon enough begun buy asleep found choose city ten try mountain death deadlock side eldin prily diamond set restocking wandering work ended still initiating provided price trade another pull random thunder around eruption compared 200 amber le disguised trying continue beast dreng ask sapphire helm tell calty breath announce 10 type gerudo rudania successfully speaks night indeitely rupee divine piece fast sell pay conjunction anyway happen get rival 500 boot could instead randomly came precious allow region character bring vai certain fireproof quest one accuses since sold time requested claim used 
Rogaro,clothes highly armor state sell goron city owner mountain wear intends death gorons character p set scaling ed tourist breath intended wild flamebreaker recommends normally shredded 
Rohan,strict according armor strong piece requiring working boulder fought goron like lake training successor break smithy serious grow city life skepticism reason defeated inheritance accepts sword lost supply brings defeat character located blacksmith every likely also breaker reforge diamond set sent part express northeast resting ed become flint breath darunia five wild house flamebreaker sold cobble trade able crusher disturbed said young shredded known existence mentor 
Shae Mo'sah,may canyon shrine refer monk eponymous designed ancient eldin 
Slergo,asks bye spoken child day answer center talkative becomes rt however goron decides whenever rest lacking offended smithy good city life loiters lava excited character student bidden style pool ask first tell many bridge interested crossing curious willing breath want wild soon anything greeted walk question appoint three initially 
Tanko,breath character gusto wild p selection arrow cooking city elemental owner ranging small sell goron ingredient 
Tray,offer manages alongside admitting divine sometimes outside stating customer highly bomb desk inn cost rejuvtes asleep goron vah city bothered body beast even massage character style magma run front fall give breath since wild go bed innkeeper recommends rollin rudania 
Volcon,alongside divine outside becomes directs customer bomb inn goron vah drove stop coming hopeful city lodge liberation beast massage following character stand stay style magma run falling give tourist breath wild help traveler rollin start rudania 
Akrah,asks offer specific quality rune travel debate scientist like see bone extinction picture theory photo located stay wild went conversation include completed theorizes extinct day great however found two prove join debating side eldin reward also serenne willing provided well accepting able leviathan remains location skeleton inside explain admits eruption belief continue quietly talk assist ask last breath w three animal cked speaks night activate rupee return brother volcanic garn camera n rainy chance delivered cause heat research head region character mutter idea quest one give sleep want using time take stable 300 say locate 
Daag Chokah,speaks restoration year prior great ganon became entering role monk slate fade serf away n see wish sheikah entered goddess named champion someone fulfilled body reward orb following character ostracism enters prepare article resurrection first ancient blessing spirit calty slumber breath well wild threat shrine 10 bearing praise greeted offered overcoming help ordeal 000 constructed activated 
Garshon,garn character wild breath 
Ketoh Wawai,speaks restoration year prior great ganon became entering role monk slate fade serf away n see wish sheikah entered goddess named champion someone fulfilled body reward orb following character ostracism enters prepare article resurrection first ancient blessing spirit calty slumber breath well wild threat shrine 10 bearing praise greeted offered overcoming help ordeal 000 constructed activated 
Kuhn Sidajj,speaks restoration year prior great ganon became entering role monk slate fade serf away n see wish sheikah entered goddess named champion someone fulfilled body reward orb following character ostracism enters prepare article resurrection first ancient blessing spirit calty slumber breath well wild threat shrine 10 bearing praise greeted offered overcoming help ordeal 000 constructed activated 
Maag Halan,speaks restoration year prior great ganon became entering role monk slate fade serf away n see wish sheikah entered goddess named champion someone fulfilled body reward orb following character ostracism enters prepare article resurrection first ancient blessing spirit calty slumber breath well wild threat shrine 10 bearing praise greeted offered overcoming help ordeal 000 constructed activated 
Oaki,breath character wild 
Onya,breath character wild 
Sprinn,breath character wild 
Tasho,ta breath character wild 
Zooki,forest breath character region korok wild great hyrule found 
Zumi,breath character wild 
Chio,asks big according entirely choice eating item ready game participated forest unsure southwest first visit designed new pulling wild help share prepared cheering day initiate soothe tough reveals appearing however koroks found sprouted must kingdom expected completes test sword side mettle reward anymore korok also privileged explains treasured save hearty accepting considered go anything need overcome recognizes mushroom grown location elder pain something truffle goal mean without pilgge made wind aside yet rather trial lost encourages ally prize every already witnessed second hyrule extra northwest tell sight impressed suggests breath suddenly shrine hero reites overcoming dish three wood speaks started third waker whether challenge recognizing happen get based design head shared pulled undertake character en quest one ancient give unique feel want informs underneath say ceremony 
Damia,asks offer promise congrates deposit like good ready everything reach would rental rule forest following agreeing attempt five wild knew weapon making start within limit initiate equip however make break completes life expecting test side korok hope explains set ut hardest go need cover know another meet agrees gear goal done trial thing path prize breath shrine reached wood rupee come return playing rter cost silver back record character en let quest ancient minute requires since want security 20 time take asserts 
Daz,within food purchase asks arrow whatever outside seeing gather sell deal grateful see enemy item enjoys general useful demanding store navel would forest character located korok ppe selling explains run extra pleased ck addition asked breath since wild inventory ware using raining occasionally need recommends thought damage 
Keo Ruug,forest may shrine great refer hyrule monk eponymous designed ancient 
Kula,upon offer freezing rupee around found must blizzard instead near trial side forest character korok ice wandering quest wn give impressed 100 rod welcome breath extremely enthusiastically wild thanks wing w 300 speaking 
Maca,asks overused lose outside place perfect resemble waker provides leaving pedestal found regardless wind mouth life east would sword hollo warping forest character korok entrance tree regenerate mask tell appearance leave leaf information power breath may want wild time ogre question wood 
Natie,inside think hard sch warns store forest character korok p gathering run anticipation arrival ie breath wild mushroom known spore 
Peeks,speaks inside legendary rabbit found needed begin near trial picture side pot forest character stand korok blupee tree quest breath wild citation w cooking 
Pepp,inside heart pas resemble waker asleep found recover made wind often waiting navel forest character korok aldo fall mask appearance leaf sleep breath wild bed time free specifically 
The Great Deku Tree,nl population heir stating saving plaguing language deep danger inn cursed watched see subsequently maku protects fatherly remaining hand game elite father absence plant would awakening event store due dungeon forest dy explaining predecessor historia golden rescue overrun timid first talking horde boy 100 asked land sharing pulling weak wild praise created soon descended pane mistake help eponymous minish spore entrusting throughout within d curse parasite prior great makar enough seven cap stained koroks rejuvtes encyclopedia two guardian order top evil life general oot ground small detail sword linder forbidden beginning depicts hope korok counterpart also ppe sage set motif emerald grew sea leaf many power glass well considered shadow face grown built young meet consolidate pull inside year child act outside clothes around pedestal worship without clearing done ceremony wind spread stone pearl destroy creature goddess passing code directing withers farore thing later lost receive adult ocarina spiritual saria depth exist p tree kokiri collaboratively dense botw hyrule monster afterwards speak promised gohma massive breath hero sprout three known wood effect home legendary center safeguard live summon return waker strong state island fade wane navi given fails root n simply queen begin task tww invading temple apart navel unused journey explicitly deku allow identifies referred article sends one triforce ancient figure flood castle give being called reclaimed ganondorf informs baga accident belittles time take realizes error fairy vanish annual 
Walton,spoken outside atop resemble drona waker found riddle wind side forest character korok hyrule quest mask appearance give leaf breath wild 
Blynne,asks promise seen tng eating like see fifteen win better horse first superiority note wild beat carrot help making start aim controlling day sun however people extravagant never prove must adjustment kingdom serious notice ten try test nearby loses reward also rain work part grew nomad ride need thought developed supposes ish difficult something course rider gear riding different explain without yell ishes best jump le swift fee line already every second ask hyrule require dismounting forbids tell impressed guarantee suggests breath retreat obstacle mounted attitude rupee come admit blyne entering whoever challenge state saddle race grit n get horseback stop gift back complete record character thirty approach highland area one confident give feel minute crossing 20 bridle time stable running say 
Jini,arrow faron sell found grassland n horseback male camp archery region character paying run hyrule drill breath wild mounted 
Ka'o Makagh,may faron shrine refer monk eponymous designed ancient grassland 
