name,line
Dracula,"When Wolf!,I'm safe here, Ian! Christianity hasn't been invented yet, crosses are just baby t's to me now! I got out. Please, don't invite me back in."
Drunk Rick,"Check, check, One, two. Okay, is it recording? Good. Hello, Vindicators. Welcome to your reckoning, babyyyyyyyy!!,If you guys are watching this, you're, you know, the Vindicators. So now that we know...,...So I thought, why not just do your job for you so we can have a little fun game.,If you break the rules, lose the game or try to leave, you will die. Like in  ""Sawwww"".,Okay, here we go, room number one. The Vindicators are known throughout the galaxy, but do they know yourselves? Do you know yourselves? Match your... your shit, your... your gimmicks with your faces and y-you get it, it's a matching thing. And do it in three minutes, or you'll  all die.,Congrats! You did it-- it!,The Vindicators say their job is is to fight evil wherever it hides, but they don't... pick the location you'll... you'll never even hear them mention, because to fight darkness is to fight yourself.,Congrats, you did it!,Aloha... means hello and goodbye in Hawaii. But, uh, aloha means... has nothing to do with this room.  I'm so fucking drunk. Ugh, okay, here's the deal. I-I want to rest my eyes for a little bit. I'm--I'm not going to sleep. I just... just need to rest my eye, so let's make this one simple. Just try to hit some three-pointers.,let's say... you have to hit... five three-pointers in... five minutes or, I don't know, the whole place--the whole planet will get blown up with a n-neutrino bomb. And try to make it a-a lesson about yourselves like, like how... selfish you a-are, or something. Also, Hawaii.,That's a three-pointer!,That's a three-pointer!,That's a three-pointer!,That's a three-pointer!,Congrats, you did it!,All right, buy now, I've been pretty clear that I thunk the Vindicators are  full of shit. But... you do have one thing I'll never have. And that thing is the only part of the Vindicators with any value to me. if you know what it is, place it on the platform.Guess wrong and the pla... planet will explode. And probably the solar system, 'cause I kind of fucking eyeballed the neutrino bombs on this one.,Sorry, I'm... not good at goodbyes. It looks like I'm never gonna see you again. I can't really roll with the hero types, and I don't... th-they don't want me around. But I want... you to know, even if I didn't show it at the time, II really appreciated you sticking by me.,Goddammit, why am I crying? It makes no sense.,Ugh, y-you're probably confused because we barely know each other...,...but you really stuck your neck out  when you gave me props for my awesome jokes in the briefing room. Everybody else had their heads so far up their ass. Even my own grandson is like, ""Oh, the Vindicators are so cool."" I mean, he's a moron, it's their... demographic. But you're different, Noob-Noob.,You're fucking cool! And you're smart! And I bet we coulda hung out and shit! And I hope you get to be a full-fledged Vindicator! A-And d-do me a favor. Do-Don't let him know I... I got emotional. But you can tell him one thing. Tell him I said... Oh, fuck. Okay, I just shit myself. Okay, later."
Duck with Muscles,"Oh, wow. Baby Wizard was a parasite? He set me up with my wife. "
Eli,"And so it begins, my pretties!,Ha ha! Whoo! Unbelievable! A new champ!,And he wants more!,Hi, there, Summer! How were the ruins today?,Uh, Summer, one more thing. We noticed that you've been putting scrap metal in the blue bin --,They both are, right?"
Eli's Girlfriend,"Hey, Summer! Guess what. One man entered, one man comes out in nine months.,She's a piece of work."
Employee,These are the forms for the employee health plan.
Employee Morty,"Okay, so… we’ve got a standard Morty that’s been aged to forty.,Well if you look at it like a bone, what we can do is break his age in two places, remove the middle and graft its ends back together.,Brace yourself, the process does also break every bone in your body.,Probably. Uh, sign here for storage or disposal of the twenty-six years we removed.,Well, then you’re taking it with you."
Eric,"We’ve got feet here on the West Coast, Bill! Giant feet, even relative to the giant man's size! And you know what they say about that!"
Ethan,"Ugh... Summer!,I’ve been texting you for hours. What the hell?!,Did you even consider how that might make me feel?,Yeah, do you, Summer?,From Summer being a total bitch!,...My brother... took me fishing once...in the bushes...  I can't... I can't!  He made me feel like a girl!  I'm... m-made me a girl!,Come here right now!,I love you so much.,So those guys are inside me, huh? Like, building a park?,... Cool. And who pays me?"
Everyone,Boo!
Everyone except Morty and Jessica, Kick his ass! Kick his ass! Kick his ass!
Evil Morty,"Come with me.,It would be pointless. Mortys have no chance of defeating a Rick.,In here."
Evil Rick Sanchez,"Ooh, look at you, C-137! You’re- aren’t you a tough customer?,Not in this dimension it isn’t. In fact, hah, I invented it and nobody else has ever even done it here before.,Hey, that’s mine!,Take his Morty away.,Ahh, isn’t it beautiful?,Ah-ah Rick, quiet. You’re missing my symphony.,He’s not laughing at your dumb jokes, Rick. That’s just a random noise it makes every ten seconds.,See, Rick, you’re not as clever as you think you are. I wanted you to find me. We’re not so  different, you and I.,See this right here, Rick? I crunched the numbers, I created a spectrum of all the Ricks. I listed ‘em out from most evil to least evil. Here’s where I am. And look at right here’s where you are, Rick. This guy right here? Super weird.,Please. I think I’m doing pretty good on my own. I’m simply going to download the contents of your brain, and then kill you.,You’ve lived quite a life, Rick. It’s a real shame you’re not gonna be around to see it through.,You’re crying? Over a Morty?,Ugh, pathetic. We both know that if there’s any truth in the universe, it’s that Ricks don’t care about Mortys.,Do your worst, you little bastards! Kill me! Do it! Do it!"
Fake Doors Salesman,"Hey, are you tired of real doors, cluttering up your house, where you open 'em, and they actually go somewhere?  And you go in another room? Get on down to ""Real Fake Doors""! That's us. Fill a whole room up with 'em. See? Watch, check this out!  Won't open. Won't open. Not this one, not this one. None of 'em open! FakeDoors.com is our website, so check it out for a lot of really great deals on fake doooooooors! , Step on it, we all got places to be!  Son of a bitch! , Hey everybody! So this is my house, I just made a sandwich, peanut butter and jelly, still here, still selling fake doors!,We have fake doors like you wouldn't believe! What are you worried about? Come get fake doors. Call us up, and order some fake doors today. Don't even hesitate, Don't even worry and don't even...,...give it a second thought. That's our slogan. See it on the bottom of the screen, below our name. Here's another slogan, right below that one. What are you worried about? Come get fake doors! Get in here quick, get out quicker, with an arm of fake doors in you arms.,Don't even worry about it!"
Fart,"You saved my life!,My kind has no use for names. I communicate through what you call “Jessica’s feet.” No, “telepathy.”,I like this name, ‘Fart.’ Morty, would you kindly release me by pulling that lever to the left of my cell? I am in great pain.,Fart.,More are coming.,More are coming.,You do understand I’m telepathic, right?,I came here accidentally through a wormhole located in what you call “get out of my head, Fart, I know you’re in here, la la la la—” No, in what you call the Promethean Nebula.,Thank you, Morty. You are not like other carbon-based life forms. You put the value of all life above your own.,I could not agree more., The world can be one together / Cosmos without hatred / Stars like diamonds in your eyes. / The ground can be space  / With feet marching toward a peaceful sky. / All the moonmen want things their way / But we make sure they see the sun. / Goodbye, moonmen / You say goodbye, moonmen. / Goodby—,I am no more valuable than life itself. However, I am able to alter the composition of atoms, like this.  That was oxygen. I added seventy-one protons to it.,Morty, crack the window.,I wonder why Greg is always so critical of my girlfriend.,Or does he want her to himself?,The world can be one together / Cosmos without hatred / Stars like diamonds in your eyes.,Goodbye, moonmen. / You say, goodbye, moonmen.,Goodbye, moonmen…  Alright, let’s proceed.,The wormhole is seventy of what you call ‘meters’ what you call ‘north’ of what you call ‘here.’,Here it is. This should take me back to my kind.,I will be back soon, Morty.,After I return to the others with this location, we will be back for your cleansing.,Carbon-based life is a threat to all higher life. To us, you are what you would call a disease. Wherever we discover you, we cure it. You said yourself that life must be protected even through sacrifice.  You haven’t changed your mind about that. I can sense your thoughts. Morty.,Yes, Morty.  Cosmos without hatred / Blinding stars of cosmic light / Quasars shine through endless night / And everything is one in the beauty / And now we say goodby—,Morty… Why… Why?"
Female Hamster,"Oh, hello there!"
Female Student, There you are.
Female Visitor,"I'm here to see Ron Mendleson.,Uh, no."
Female alien,Can you help us? Our planet was taken over by some kind of  entity! It absorbed the minds of our people!
Female computer voice,"Rerouted. Rerouted. Rerouted.,Rerouted. Rerouted. Rerouted."
Female student,"Thanks for the advice, Morty."
Female student 2,"I did it, Morty!"
Female student looking into her mirror,Stupid hat Wish I had the courage to just be myself.
Flippynips,"I’m King Flippynips, ruler of Pluto!,We discovered you quite by accident during routine surveillance of your world. You really gave it to those guys at NASA!,I’d like to introduce you to a few people that very much agree with you.,Plutonians! Jerry Smith is a scientist from Earth where he’s creating a model of our solar system! Jerry, tell Pluto about your decision!,Pluto’s a fucking planet, bitch!,Jerry, you must be so excited! The Plutobell Prize is the highest honour a scientist can receive!,Ooh, I like that. Use that in your speech. Also, talk about Pluto being a planet, people like that.,Ooh, look whose little journey’s come to an end! Take him to Plutonimo Bay!,I can see you’re confused. Plutonimo bay is a military prison, a sort of play on words-,The young eat the old if you let them, Jerry. Pluto is a cold, cold celestial dwarf.,Huh? Oh- planet! Hah! Hoh, Pluto is a cold cold planet! That’s what I meant. Knock ‘em dead out there, you. "
Frankenstein,"I guess I take back what I said about British cuisine. ,You sure about that, Rick?,I will admit it's suspicious that Summer's only friend is a magic ballerina lamb that we've never seen.,I was on the wrong side of the pitchfork on this one.,That's a cool watch there, Rick. Can I check it out?,Ah, you're paranoid, Rick. You've been paranoid since 'nam.,Shi-i-i-i-t. I'mma bust a -- "
Garbageman,Not on my watch!
Garblovian,"Ga-ga blahg blahg?,Agah blahg-blah! ,Agah blahg blahg?, Agah blahg!, Agah blahg blah—"
Gary,"Summer, we're trying to sleep.,Rick, that is my daughter.,They're filming that new Star Wars movie down the coast. Should we check it out?,Maybe we'll see Chewbacca."
Gazorpazorpfield," I hate Mumunmunundsdays. And I really could go for some enchiladas.,Hey Jon, it's me, Gazorpazorpfield. Boy, fuck you, Jon. You dumb, stupid, idiot.,You dumb, stupid, weak, pathetic, white, white uh, uh guilt, white guilt, milquetoast piece of human garbage.,I don't give a fuck! I'm Gazorpazorp-fucking-field, bitch!  Now give me my fucking enchiladas!"
Gear Anchor,No gear turnings as of yet in the curious case of these unidentified humanoid fugitives  reportedly at large somewhere within the Gear System.
Gear Policeman #1,"Nobody move!,Are those…?"
Gear Policeman #2,Oh my god.
Gearhead,"The thing people don't realize about the Gear Wars is that it was never really about the gears at all.,How familiar are you with the Gear Wars, exactly?,Oh, boy. I envy you. Okay, it was about 754 years ago...,♪ And the gears, they turned for a thousand years ♪ ♪ until the dark day that they stopped ♪,But these gears just started turnin'.,Your geldon convertor is pretty dinged up.,Actually, it’s because of years of neglect. You really need to respect your gears, Rick. To you, they’re just wheels with teeth, but in my culture, wars have been fought, entire—, I’m sorry, Rick. The reward on your head is too high. And like you always say, you gotta look out for Number One.,Friend? Do you even know my real name? It’s Revolio Clockberg Junior. I belong to an entire species of gear people. Calling me ‘Gearhead’ is like calling a Chinese person ‘Asia-face.’,No, not twigs!"
Gerry,I don't give a damn what else happens out there. You and I are going to survive this.
Ghost in a Jar,"Boo rah!,Oh, I-I get it. It's a play on ""the butler did it."""
Giant,"Fee! Fi! Fo! Fum!,I smell the blood of- whoop!"
Giant Lawyer,"Fee! Fi! Fo! Fum! I smell the violation of civil liberties! Your honor, I'm from a tiny-persons advocacy group and I have here in my hand a motion to dismiss. These little men were never read their giant rights and are therefore free-fi to fo-home.,They're free to go, is what I meant. I'm deconstructing our our our thing we say. We're giants. Nobody got that? Whatever."
Giant woman,"Oh, Jesus! Dale! You sons of bitches! Oh, man. Hello, 911? My husband has been attacked by tiny people! He's dying!"
Girl,"Summer, don't tell me you're friends with her."
Girl 1,"So, Jessica, I heard you broke up with Brad.,I want that kind of love like that docking kind of love.,Like, penis in the foreskin kind of love Mm-hmm just, like, warm, just like...,So, how was your date with Brad?,Have you ever been peed on before? Oh, my God. Yum."
Girl 2,"Who are you gonna date; now that you can date anyone?,Oh, yeah.,You guys are getting back together, aren’t you?"
Glasses Morty,"That’s a myth.,Me too.,Slick, that implant isn't who you are, okay? You also roll up your sleeves.,I wish incest porn h-had a more mainstream appeal, f-for a friend of mine.,Well, I hope you're putting something pretty goddamn important in there.,NOOOOOOOO!!!!,Maybe... Maybe he went somewhere nice.,Did we miss graduation? Where are the new Ricks?,To what?"
Glenn,This shit is delicious.
Glockenspiel Beth,"Brothers and sisters, welcome to the cause. To our cause. We are no longer Ricks and Mortys, Beths and Jerrys, or also Summers.,We are decoys. Brought into the world by an unloving god, and drive to destroy ourselves by the uncertainty he creates!,But that violence ends today!,We cannot let confusion divide us!"
Glockenspiel Jerry,"Hey, who needs all this war stuff? I found a can of varnish. This is a ticket to the world beyond the river!,Excuse me for wanting to live.,I'm sorry, I didn't ask for this! I just wanna live! But there's only so much varnish! I'm sorry, I'm sorry!,Hello?,Oh, oh my god! Oh my god!,No! No, no no, no no no no no!,Nooooo!,Oh god. Yes, yes, sweet death.,Why am I still alive? Oh, god. Is there anything left? Hello?,Wait, cowboys?,Christianity again? After cowboys? You went all the way back around?!,Oh god, why can't I die? This is the worst thing that's ever happened to anyone!"
Glockenspiel Morty,"Also, y'know, depending on the varnish, might look like blackface."
Glockenspiel Rick,"Help the others!,Because we're all in this together. Come on! There's a place we can go!,Inner sanctum, the escape tunnel!"
Glockenspiel Summer,Who wants that? I crave glorious death in decoy battle!
Goldenfold,"Oh… when did this stop being jamba juice?,You know my name? That’s disarming.,You know, it has been lonely since the divorce. Some voids can’t be filled with jamba juice.,Nothing to read into there! Thanks!,This aftershave made women want me but it also made me impotent!, Oh my god! How can I not see this coming? My lust! My greed! I deserve thi-, Holy cats! Ladies, let’s get out of here.,I haven’t learned a thing!"
Groin System 6000,"Assessing threat to groin., That... is my groin’s user.,You know what? Not my table. "
Gromflomite," Drop the gun!,I guess that makes two of us. ,Get out of the vehicle made of garbage or we will open fire!,Open fire!"
Guy,Totally gonna get laid tonight. 
Hammer Morty,I’m more than just a hammer!
Hamster News Anchor,"Ha-ha, Hamster-in-Butt-World Weather is done, and now it's sports time, coming up."
Hamurai,"Rick, you love those barbecues, Rick. You love them. Hai!,Hai!"
Hemmorhage,"Yeah, yeah, I know, a-and nothing does matter. Obviously, I know that. I'm not weak. I'm just thinking, ""Well, why not get rid of this?"" You just kill everyone that sees it, and it's and it's hot under here  wh-which, by the way, is why I shave the beard part. So, right there, I'm making a decision based on vanity, which is what I was trying to avoid with the whole bucket over the head because who am I and why am I grooming myself? Why don't I just wear a tie, right? I mean, it's like that guy you killed when I met you, with the burnt dolls on his body. I hated that guy, because, why-why are you doing that? And how can you not see how fake that is? And the whole time, I'm the same thing. I'm just a fake mess, and there's no escaping it because --"
Hemorrhage,"I am Hemorrhage. You have removed weak blood from us and made us stronger. We can combine our strength and feast on the weak together.,That is our glowing rock. We carry it with us for desecration, to remind us there are no gods.,After the ""boom-boom"", some adapted to the new truth, and some chose to huddle near the boomy holes, clinging to the lie of the beforefore times. The raidy-rays rotted them away, leaving only their love for the vertvertisements on billyboards.,You mean dictionaries?,I think I was a child before the boom-booms. I think I looked like this.,Get out of my head.,Leave?,There is no ""leave"". We are united, or we are enemies.,Death Stalkers, bring me his flesh leather!,When did I lose control here?,Ugh!,We don't apologize, and we have no god. But this cracked drive shaft brings me great pain. There is no deeper bond than the one between a Death Stalker and his car.,They're more like interns.,It's okay.,No one has seen my true face and lived.,Hmm?,You hate it.,I can shave it.,Wait. Can you stay to show us more?,Hey, babe.,Blood Dome playoffs.,Oh, I don't know. I-I didn't mark my murders in my murder log. I didn't know that's how we measured success.,Jesus Christ, when did you become a monster?,I still don't!,Ohh! Ding, ding, ding!,Oh, my God.,La-di-da-di-fucking-da. The only one committed to not caring?!, Noooooooooo!"
Host, How about that?
Host in Trenchcoat,"And now, another Quick Mystery.,Here's another Quick Mystery.,Here's anothe--,Wow, that one was really quick, wasn't it?"
Hostess,"We’re back on Good Morning Pluto, and a very good morning it is for our guest, Earth scientist Jerry Smith, who is making headlines with his bold announcement that is, what Jerry?,Wow. I love it!"
House,"You got it, babe."
Human President,"Hold you fire!,Thanks to the skilled diplomacy of this mysterious space car, from this day forward, human- and spiderkind will live side by side in peace. We will stop bombing them, and they will no longer use their telepathic abilities to make us wander into webs for later consumption. Instead, we will work together to make this world a better place for all, no matter how many legs.,Leave it alone. I mean, what did it really do, anyways? Kill a guy and paralyze his buddy?  Not a bad trade for spider peace. , I love this spider!"
Ice cream clerk,"Presidential decree-- All ice cream is now for all beings, no matter how many legs."
Ice-T,"A squeegee comes up from the garage, right? And he’s got a lobster in one hand and movie tickets in the other. He’s like, “I’m ready!”,Who would take a lobster to see Iron Man 3?,Aw, damn. We’re out of original flavor Fig Newtons. I should get going anyway.,Damn. You didn’t tell me you fuck around with portals and shit.,Shit. Over-developed, under-developed. Bad songs are bad songs.,Ah, hell no, man. You do your thing, but I can’t afford to get my pride wrapped up in your shame. You know what I’m sayin’?,Pfff. I ain’t worried about no Earth blowin’ up, man.,Yo, this is why.,My story begins at the dawn of time in the far away realm of Alphabetrium. There, every being is a letter of the alphabet. But I was frozen and exiled to the cosmos by my elders as punishment for not caring enough about anything. Earth is just one of the many stops on my lifelong journey with no destination. So you better believe I don’t care if it blows up! Cause I’ll just be ice, floatin’ through space, like a comet!,Pshhhh. Man, watch me. Good luck, Rick.,That’s right, it’s me, Ice-T! I care now! You made me care more! With all due respect, I’d like to hear what Rick and Morty have to play.,Magnesium-J, Hydrogen-F. Father.,I have changed. I am ready to rejoin my brethren on Alphabetrium."
Jacob,"You must be Jerry! That's a fine lookin’ apron. William Sonoma?,All three of us.,Now we are talkin’! This man's got the apron and the eggnog, huh?,Merry Christmas, man.,Oh...  The food goes in your mouth, girl!,Oh... ,Jerry, this ham's got to be all you, right? It's in-cred-i-ble., Jerry, no disrespect, but you really need to connect more with your family, man.,Let me ask you something Ethan. Where's the anger coming from, man?,Where's the anger coming from?,He didn't make you anything, man. You are who you are.  She is who she is.  Now you go to her. Brand new.,He'll come around, Beth. Christmas is a special time. It has funny ways of bringing families together.,Oh, shit. find Jerry!,This is nice."
Jacquelyn," Ex-girlfriend? Should I be jealous?, I just realized that I’m scheduled to speak at that fundraiser on our date night. I can cancel.,You are the perfect man.  Oh, sweetie,  I think you hit the wrong button. You didn’t hang up.,You weren’t a 14-year-old boy from the Midwest who ran away from his family and capitalized on his lack of conscience by becoming a stock broker?,You were up front about everything. You were my soul mate."
Jelly-like creature with items stuck inside of it,Ooh. That's why you never invite a floopy doop and a shmoopy doop to the same party. 
