,Name,Hyperlink,Relations,Species,Origin,Gender,Status
151,Frank Palicky,https://rickandmorty.fandom.com/wiki/Frank_Palicky,"['Morty Smith', 'Rick Sanchez', 'Summer Smith (Cronenberged dimension)', 'Jerry Smith (Cronenberged dimension)']",Human,Earth (C-137),Male,Dead
152,Frankenstein's Monster,https://rickandmorty.fandom.com/wiki/Frankenstein%27s_Monster,"['Tinkles', 'Memory Parasites']",Alien,unknown,Male,Dead
153,Fulgora,https://rickandmorty.fandom.com/wiki/Fulgora,['Attila Starwar'],Human,unknown,Female,Alive
154,Fungo,https://rickandmorty.fandom.com/wiki/Fungo,"['Yaarb', 'Jerry Smith', 'Shrimply Pibbles']",unknown,unknown,Genderless,unknown
155,Gaia,https://rickandmorty.fandom.com/wiki/Gaia,"['Florflok', 'Ticktock', 'Squeeb', 'Rick Sanchez', 'Reggie']",unknown,Gaia,Female,Alive
156,Galactic Federation President,https://rickandmorty.fandom.com/wiki/Galactic_Federation_President,"['Gromflomites', 'Rick Sanchez']",Alien,unknown,Male,Dead
157,Gar Gloonch,https://rickandmorty.fandom.com/wiki/Gar_Gloonch,"['Zarbadar Gloonch', 'Jerry Smith']",Alien,unknown,Male,Dead
158,Gar's Mytholog,https://rickandmorty.fandom.com/wiki/Gar%27s_Mytholog,"['Zarbadar Gloonch', 'Gar Gloonch']",Mythological Creature,Nuptia 4,Male,Dead
159,Garblovians,https://rickandmorty.fandom.com/wiki/Garblovians,['GlorpDieBlorp'],unknown,unknown,Genderless,unknown
160,Garmanarnar,https://rickandmorty.fandom.com/wiki/Garmanarnar,"['Piece of Toast', 'Two Guys with Handlebar Mustaches', 'Man Painted Silver Who Makes Robot Noises', 'Three Unknown Things', 'Hole in the Wall Where the Men Can See it All', 'Bobby Moynihan']",Alien,unknown,Male,Alive
161,Garment District Rick,https://rickandmorty.fandom.com/wiki/Garment_District_Rick,"['Shadow Council of Ricks', 'Rick Sanchez', 'Council of Ricks', 'Evil Morty']",Human,unknown,Male,Dead
162,Gazorpazorpfield (Character),https://rickandmorty.fandom.com/wiki/Gazorpazorpfield_(Character),"['Gazorpians', 'Jon', 'Rick Sanchez', 'Morty Smith']",unknown,unknown,Genderless,unknown
163,Gazorpians,https://rickandmorty.fandom.com/wiki/Gazorpians,"['Morty Jr.', 'Mar-Sha', 'Gwendolyn', 'Rick Sanchez', 'Summer Smith', 'Morty Smith']",unknown,unknown,Genderless,unknown
164,Geardude,https://rickandmorty.fandom.com/wiki/Geardude,"['Revolio Clockberg, Jr.', 'Rick Sanchez', 'Birdperson', 'Squanchy', 'Gromflomites']",unknown,unknown,Genderless,unknown
165,Gene,https://rickandmorty.fandom.com/wiki/Gene,"['Principal Vagina', 'Ethan', 'Morty Smith', 'Rick Sanchez']",Human,Earth (Replacement Dimension),Male,Alive
166,General Nathan,https://rickandmorty.fandom.com/wiki/General_Nathan,"['The President', 'Cromulons', 'Rick Sanchez', 'Morty Smith']",Human,Earth (Replacement Dimension),Male,Dead
167,General Store Owner,https://rickandmorty.fandom.com/wiki/General_Store_Owner,"['Rick Sanchez', 'Morty Smith']",Alien,Purge Planet,Male,Dead
168,Genital Washer,https://rickandmorty.fandom.com/wiki/Genital_Washer,"['Taint Washer', 'Lord Henderfinger']",Human,Post-Apocalyptic Earth,Male,Alive
169,Ghost in a Jar,https://rickandmorty.fandom.com/wiki/Ghost_in_a_Jar,"['Memory Parasites', 'Reverse Giraffe']",Alien,unknown,Genderless,Dead
170,Gibble Snake,https://rickandmorty.fandom.com/wiki/Gibble_Snake,['Shmooglite Runner'],Alien,Resort Planet,Genderless,Dead
171,Glar,https://rickandmorty.fandom.com/wiki/Glar,"['Rick Sanchez', 'Morty Smith', 'Miles Knightly', 'Heistotron']",Alien,unknown,Male,Alive
172,Glarb,https://rickandmorty.fandom.com/wiki/Glarb,"['Rick Sanchez (C-132)', 'Morty Smith (C-132)', 'Professor Tock']",unknown,unknown,Genderless,unknown
173,Glasses Morty,https://rickandmorty.fandom.com/wiki/Glasses_Morty,"['Lizard Morty', 'Slick Morty', 'Morty Smith']",Human,unknown,Male,Alive
174,Glaxo Slimslom,https://rickandmorty.fandom.com/wiki/Glaxo_Slimslom,"['Rick Sanchez', ""Beth's Mytholog"", 'Gar Gloonch', 'Zarbadar Gloonch']",unknown,unknown,Genderless,unknown
175,Glenn (Rixty Minutes),https://rickandmorty.fandom.com/wiki/Glenn_(Rixty_Minutes),['Gromflomites'],unknown,unknown,Genderless,unknown
176,Glootie,https://rickandmorty.fandom.com/wiki/Glootie,"['Rick Sanchez', 'Jerry Smith (Cronenberged dimension)', 'Jerry Smith']",Alien,unknown,Male,Alive
177,GlorpDieBlorp,https://rickandmorty.fandom.com/wiki/GlorpDieBlorp,['Garblovians'],unknown,unknown,Genderless,unknown
178,Gobo,https://rickandmorty.fandom.com/wiki/Gobo,"['Jerry Smith', 'Morty Smith']",Alien,unknown,Male,Dead
179,Goddess Beth,https://rickandmorty.fandom.com/wiki/Goddess_Beth,"['Beth Smith', 'Ideal Jerry', ""Beth's Mytholog""]",Mythological Creature,Nuptia 4,Female,unknown
180,Goomby,https://rickandmorty.fandom.com/wiki/Goomby,['Rick Sanchez'],Alien,Story Train,Male,Alive
181,Gordon Lunas,https://rickandmorty.fandom.com/wiki/Gordon_Lunas,['Principal Vagina'],Human,unknown,Male,Dead
182,Gorpathian Dermaks,https://rickandmorty.fandom.com/wiki/Gorpathian_Dermaks,['Rick Sanchez'],unknown,unknown,Genderless,unknown
183,Grace,https://rickandmorty.fandom.com/wiki/Grace,"['Summer Smith', 'Morty Smith']",unknown,unknown,Genderless,unknown
184,Grace Smith,https://rickandmorty.fandom.com/wiki/Grace_Smith,"['Nancy', 'Squanchy', 'Brad', 'Abrodolph Lincoler', 'Morty Smith', 'Jessica', 'Tammy Guterman', 'Grace']",unknown,unknown,Genderless,unknown
185,Greebybobes,https://rickandmorty.fandom.com/wiki/Greebybobes,['Cromulons'],unknown,unknown,Genderless,unknown
186,Greg,https://rickandmorty.fandom.com/wiki/Greg,['Fart'],unknown,unknown,Genderless,unknown
187,Gromflomites,https://rickandmorty.fandom.com/wiki/Gromflomites,"['Canklanker Thom', 'Galactic Federation President', 'Glenn', 'Krombopulos Michael', 'McGlaargle', 'Rurtaugh', 'Tammy Guterman']",unknown,unknown,Genderless,unknown
188,Gwendolyn,https://rickandmorty.fandom.com/wiki/Gwendolyn,"['Morty Jr.', 'Morty Smith', 'Rick Sanchez']",Robot,Gazorpazorp,Female,unknown
189,Hambrosians,https://rickandmorty.fandom.com/wiki/Hambrosians,"['Rick Sanchez', 'Morty Smith', 'Birdperson', 'Tammy Guterman']",unknown,unknown,Genderless,unknown
190,Hammerhead Morty,https://rickandmorty.fandom.com/wiki/Hammerhead_Morty,"['Morty Smith', 'Evil Rick Sanchez']",Humanoid,unknown,Male,unknown
191,Hammerhead Morty (Fortnite),https://rickandmorty.fandom.com/wiki/Hammerhead_Morty_(Fortnite),"['Hammerhead Morty', 'Morty Smith']",unknown,unknown,Genderless,unknown
192,Hamsters In Butts,https://rickandmorty.fandom.com/wiki/Hamsters_In_Butts,[],unknown,unknown,Genderless,unknown
193,Hamurai,https://rickandmorty.fandom.com/wiki/Hamurai,"['Memory Parasites', 'Reverse Giraffe']",Alien,unknown,Male,Dead
194,Harold,https://rickandmorty.fandom.com/wiki/Harold,"['Summer Smith (Cronenberged dimension)', 'Morty Smith']",Cronenberg,Earth (C-137),Male,Alive
195,Harold The Garbage Goober,https://rickandmorty.fandom.com/wiki/Harold_The_Garbage_Goober,[],unknown,unknown,Genderless,unknown
196,Healthy Rick,https://rickandmorty.fandom.com/wiki/Healthy_Rick,"['Rick Sanchez', 'Toxic Rick', 'Toxic Morty']",unknown,unknown,Genderless,unknown
197,Heistotron,https://rickandmorty.fandom.com/wiki/Heistotron,['Rick Sanchez'],Robot,Earth (Replacement Dimension),Genderless,Dead
198,Helium-Q,https://rickandmorty.fandom.com/wiki/Helium-Q,"['Water-T', 'Cromulons', 'Numbericons']",unknown,unknown,Genderless,unknown
199,Hemorrhage,https://rickandmorty.fandom.com/wiki/Hemorrhage,"['Summer Smith', 'Jerry Smith', 'Sleepy Gary', 'Beth Smith', 'Morty Smith (Replacement Dimension)', 'Morty Smith', 'Gwendolyn', 'Morty Jr.', 'Leonard Smith', 'Joyce Smith', 'Steven Smith', 'Unnamed Uncle', 'Rick Sanchez (Replacement Dimension)', 'Rick Sanchez', 'Diane Sanchez', ""Rick's Father"", 'Colossus', 'Jerry Smith (Cronenberged dimension)']",Human,Post-Apocalyptic Earth,Male,Alive
200,Hephaestus,https://rickandmorty.fandom.com/wiki/Hephaestus,"['Reggie', 'Rick Sanchez', 'Morty Smith', 'Heistotron', 'The Garage', 'Ventriloquiver']",Mythological Creature,Mount Olympus,Male,Alive
201,Heroin Keith,https://rickandmorty.fandom.com/wiki/Heroin_Keith,['Morty Smith'],unknown,unknown,Genderless,unknown
202,Hole in the Wall Where the Men Can See it All,https://rickandmorty.fandom.com/wiki/Hole_in_the_Wall_Where_the_Men_Can_See_it_All,"['Piece of Toast', 'Two Guys with Handlebar Mustaches', 'Man Painted Silver Who Makes Robot Noises', 'Garmanarnar', 'Three Unknown Things', 'Bobby Moynihan']",unknown,unknown,Genderless,unknown
203,Holly Hooks,https://rickandmorty.fandom.com/wiki/Holly_Hooks,"['Jessica', 'Tricia Lange']",unknown,unknown,Genderless,unknown
204,Hologram Rick,https://rickandmorty.fandom.com/wiki/Hologram_Rick,"['Rick Sanchez', 'Morty Smith', 'Wasp Rick', 'Jessica']",Humanoid,Earth (Replacement Dimension),Male,Dead
205,Hologram Rick (Edge of Tomorty: Rick Die Repeat),https://rickandmorty.fandom.com/wiki/Hologram_Rick_(Edge_of_Tomorty:_Rick_Die_Repeat),"['Rick Sanchez', 'Morty Smith', 'Jessica', 'Bullies', 'Wasp Rick']",unknown,unknown,Genderless,unknown
206,Hookah Alien,https://rickandmorty.fandom.com/wiki/Hookah_Alien,"['Rick Sanchez', 'Morty Smith']",Alien,unknown,Genderless,Alive
207,Hoovy,https://rickandmorty.fandom.com/wiki/Hoovy,"['Bova', 'Rick Sanchez', 'Morty Smith', 'Japheth', 'The Garage', 'Dale', 'Arthricia']",Humanoid,Narnia Dimension,Male,Dead
208,Hothead Rick,https://rickandmorty.fandom.com/wiki/Hothead_Rick,"['Rick Sanchez', 'Ricardo Montoya', 'Big Fat Rick', 'Little Ricky Wrap-it-up']",Human,unknown,Male,Dead
209,Hunter,https://rickandmorty.fandom.com/wiki/Hunter,"[""Hunter's Father"", 'Space Cruiser', 'Summer Smith']",Human,Earth (Giant Telepathic Spiders Dimension),Male,Dead
210,Hunter's Father,https://rickandmorty.fandom.com/wiki/Hunter%27s_Father,"['Hunter', 'Space Cruiser']",Human,Earth (Giant Telepathic Spiders Dimension),Male,Alive
211,Hydrogen-F,https://rickandmorty.fandom.com/wiki/Hydrogen-F,"['Magnesium-J', 'Helium-Q', 'Water-T', 'Cromulons', 'Numbericons']",Alien,Alphabetrium,Female,Alive
212,Ideal Jerry,https://rickandmorty.fandom.com/wiki/Ideal_Jerry,"['Jerry Smith', ""Jerry's Mytholog"", 'Beth Smith', ""Beth's Mytholog""]",Mythological Creature,Nuptia 4,Male,Dead
213,Insurance Rick,https://rickandmorty.fandom.com/wiki/Insurance_Rick,"['Rick Sanchez', 'Morty Smith', 'Solicitor Rick']",Human,unknown,Male,unknown
214,Investigator Rick,https://rickandmorty.fandom.com/wiki/Investigator_Rick,"['Evil Morty', 'Evil Rick Sanchez']",Human,unknown,Male,Dead
215,Invisi-troopers,https://rickandmorty.fandom.com/wiki/Invisi-troopers,"['Rick Sanchez', 'The President', 'Morty Smith']",unknown,unknown,Genderless,unknown
216,Izzy,https://rickandmorty.fandom.com/wiki/Izzy,"['Rick Sanchez', 'Pickle Rick (character)']",Animal,Earth (Replacement Dimension),Genderless,Alive
217,Jacob Philip,https://rickandmorty.fandom.com/wiki/Jacob_Philip,"['Joyce Smith', 'Jerry Smith', 'Leonard Smith', 'Jerry Smith (Cronenberged dimension)', 'Summer Smith (Cronenberged dimension)', 'Ethan', 'Ruben']",unknown,unknown,Genderless,unknown
218,Jacqueline,https://rickandmorty.fandom.com/wiki/Jacqueline,"['Morty Smith', 'Toxic Morty', 'Rick Sanchez', 'Jessica', 'Stacy']",Human,Earth (Replacement Dimension),Female,Alive
219,Jaguar,https://rickandmorty.fandom.com/wiki/Jaguar,"['Katarina', 'Pickle Rick (character)', 'Beth Smith', 'Morty Smith', 'Concerto']",Human,Earth (Replacement Dimension),Male,Alive
220,Jamey,https://rickandmorty.fandom.com/wiki/Jamey,"['Rick Sanchez', 'Morty Smith', 'Cromulons']",Human,Earth (Replacement Dimension),Male,Alive
221,Jan-Michael Vincent,https://rickandmorty.fandom.com/wiki/Jan-Michael_Vincent,"['Morty Smith', 'Rick Sanchez']",Human,unknown,Male,Alive
222,Japheth,https://rickandmorty.fandom.com/wiki/Japheth,"['Morty Smith', 'Hoovy', 'Bova']",Humanoid,Narnia Dimension,Male,Dead
223,Jarshog Mollar,https://rickandmorty.fandom.com/wiki/Jarshog_Mollar,[],unknown,unknown,Genderless,unknown
224,Jeff,https://rickandmorty.fandom.com/wiki/Jeff,"['Summer Smith', 'Maggie', 'Priest Witherspoon', 'Richard', 'Glootie']",Human,Earth (Replacement Dimension),Male,Alive
225,Jerry Smith (304-X),https://rickandmorty.fandom.com/wiki/Jerry_Smith_(304-X),"['Beth Smith (304-X)', 'Summer Smith (304-X)', 'Morty Smith (304-X)', 'Rick Sanchez (C-132)', 'Morty Smith', 'Summer Smith', 'Beth Smith']",unknown,unknown,Genderless,unknown
226,Jerry Smith (C-500A),https://rickandmorty.fandom.com/wiki/Jerry_Smith_(C-500A),"['Beth Sanchez (C-500A)', 'Jerry Smith', 'David Letterman', 'Johnny Depp', 'Kristen Stewart']",unknown,unknown,Genderless,unknown
227,Jerry Smith (Cronenberged dimension),https://rickandmorty.fandom.com/wiki/Jerry_Smith_(Cronenberged_dimension),"['Jerry Smith', 'Summer Smith (Cronenberged dimension)', 'Morty Smith', 'Rick Sanchez', 'Diane Sanchez', ""Rick's Father"", 'Leonard Smith', 'Joyce Smith', 'Unnamed Uncle', 'Jacob Philip', 'Mr. Meeseeks', 'Snuffles', 'Summer Smith', 'Ethan', 'Beth Smith']",unknown,unknown,Genderless,unknown
228,Jerry Smith (Evil Rick's Target Dimension),https://rickandmorty.fandom.com/wiki/Jerry_Smith_(Evil_Rick%27s_Target_Dimension),"[""Beth Smith (Evil Rick's Target Dimension)"", ""Summer Smith (Evil Rick's Target Dimension)"", ""Morty Smith (Evil Rick's Target Dimension)"", ""Rick Sanchez (Evil Rick's Target Dimension)"", 'Jerry Smith', 'Evil Rick Sanchez', 'Evil Morty']",unknown,unknown,Genderless,unknown
229,Jerry's Mytholog,https://rickandmorty.fandom.com/wiki/Jerry%27s_Mytholog,"['Jerry Smith', ""Beth's Mytholog""]",Mythological Creature,Nuptia 4,Male,Dead
230,Jessica,https://rickandmorty.fandom.com/wiki/Jessica,"[""Jessica's Grandma"", 'Brad', 'Morty Smith', 'Rick Sanchez', 'Squanchy', 'Mr. Goldenfold', 'Tiny Rick', 'Grace Smith', 'Tricia Lange', 'Fart']",Cronenberg,Earth (C-137),Female,Alive
231,Jessica's Grandma,https://rickandmorty.fandom.com/wiki/Jessica%27s_Grandma,['Jessica'],unknown,unknown,Genderless,unknown
232,Jesus Christ,https://rickandmorty.fandom.com/wiki/Jesus_Christ,[],Human,Ricks’s Story,Male,Alive
233,Jew,https://rickandmorty.fandom.com/wiki/Jew,['Armagheadon'],unknown,unknown,Genderless,unknown
234,Jodie,https://rickandmorty.fandom.com/wiki/Jodie,"['Rick Sanchez', 'Morty Smith']",unknown,unknown,Genderless,unknown
235,Johnny Depp,https://rickandmorty.fandom.com/wiki/Johnny_Depp,['Jerry Smith (C-500A)'],Human,Earth (C-500A),Male,Alive
236,Jon,https://rickandmorty.fandom.com/wiki/Jon,"['Gazorpians', 'Gazorpazorpfield (Character)']",Alien,Gazorpazorp,Male,Alive
237,Joseph Lipnip,https://rickandmorty.fandom.com/wiki/Joseph_Lipnip,"['Mrs. Lipnip', 'Thomas Lipnip', ""Tommy's Clone"", 'Beth Smith']",unknown,unknown,Genderless,unknown
238,Josiah,https://rickandmorty.fandom.com/wiki/Josiah,['Priest Witherspoon'],Human,Earth (Replacement Dimension),Male,Alive
239,Joyce Smith,https://rickandmorty.fandom.com/wiki/Joyce_Smith,"['Leonard Smith', 'Jacob Philip', 'Steven Smith', 'Jerry Smith', 'Unnamed Uncle', 'Beth Smith', 'Summer Smith', 'Morty Smith', 'Hemorrhage', 'Gwendolyn', 'Morty Jr.', 'Jerry Smith (Cronenberged dimension)', 'Ethan']",Human,Earth (C-137),Female,Alive
240,Juggling Rick,https://rickandmorty.fandom.com/wiki/Juggling_Rick,"['Rick Sanchez', 'Evil Morty']",Human,unknown,Male,unknown
241,Karen Entity,https://rickandmorty.fandom.com/wiki/Karen_Entity,"['Nippalians', 'Unity']",Alien,Unity's Planet,Female,Alive
242,Katarina,https://rickandmorty.fandom.com/wiki/Katarina,"['Jaguar', 'Rick Sanchez']",Human,Earth (Replacement Dimension),Female,Dead
243,Katherine Heffelfinger,https://rickandmorty.fandom.com/wiki/Katherine_Heffelfinger,"['Morty Smith', 'Jessica', 'Annie', 'Arthricia']",unknown,unknown,Genderless,unknown
244,Kathy Ireland,https://rickandmorty.fandom.com/wiki/Kathy_Ireland,"['Blazen', 'Morty Smith']",Human,Earth (Replacement Dimension),Female,Alive
245,Kelsey Shawsen,https://rickandmorty.fandom.com/wiki/Kelsey_Shawsen,"['Toby Matthews', 'Gromflomites']",unknown,unknown,Genderless,unknown
246,Kendra,https://rickandmorty.fandom.com/wiki/Kendra,"['Morty Smith', 'Rick Sanchez', 'Naruto Smith']",unknown,unknown,Genderless,unknown
247,Kevin,https://rickandmorty.fandom.com/wiki/Kevin,"['Prince Nebulon', 'Rick Sanchez', 'Morty Smith']",Alien,unknown,Male,Dead
248,Khlorgg,https://rickandmorty.fandom.com/wiki/Khlorgg,['Jerry Smith'],unknown,unknown,Genderless,unknown
249,Kiara,https://rickandmorty.fandom.com/wiki/Kiara,"['Jerry Smith', 'Trandor', 'Rick Sanchez', 'Morty Smith', 'Summer Smith', 'Principal Vagina']",unknown,unknown,Genderless,unknown
250,King Flippy Nips,https://rickandmorty.fandom.com/wiki/King_Flippy_Nips,"['Plutonian', 'Scroopy Noopers', 'Jerry Smith', 'Morty Smith']",Alien,Pluto,Male,Alive
251,Kl’iiik Mijupsrit,https://rickandmorty.fandom.com/wiki/Kl%E2%80%99iiik_Mijupsrit,['Mr. Marklovitz'],unknown,unknown,Genderless,unknown
252,Korlunxes,https://rickandmorty.fandom.com/wiki/Korlunxes,"['Shrimply Pibbles', 'Jerry Smith']",unknown,unknown,Genderless,unknown
253,Kozbians,https://rickandmorty.fandom.com/wiki/Kozbians,[],unknown,unknown,Genderless,unknown
254,Kristen Stewart,https://rickandmorty.fandom.com/wiki/Kristen_Stewart,"['Jerry Smith (C-500A)', 'Jerry Smith']",Human,Earth (C-500A),Female,Alive
255,Krombopulos Michael,https://rickandmorty.fandom.com/wiki/Krombopulos_Michael,"['Gromflomites', 'Rick Sanchez', 'Fart', 'Morty Smith']",Alien,unknown,Male,Dead
256,Kyle,https://rickandmorty.fandom.com/wiki/Kyle,"['Zeep Xanflorp', 'Rick Sanchez', 'Morty Smith', 'Mr. Nimbus']",Humanoid,Zeep Xanflorp's Miniverse,Male,Dead
257,Lady Katana,https://rickandmorty.fandom.com/wiki/Lady_Katana,"['Calypso', 'Diablo Verde']",Humanoid,unknown,Female,Dead
258,Larva Aliens,https://rickandmorty.fandom.com/wiki/Larva_Aliens,"['Cromulons', 'Birdperson', 'Tammy Guterman']",unknown,unknown,Genderless,unknown
259,Lawyer Morty,https://rickandmorty.fandom.com/wiki/Lawyer_Morty,"['Council of Ricks', 'Morty Smith', 'Summer Smith']",Human,unknown,Male,unknown
260,Leonard Smith,https://rickandmorty.fandom.com/wiki/Leonard_Smith,"['Joyce Smith', 'Steven Smith', 'Jerry Smith', 'Unnamed Uncle', 'Beth Smith', 'Summer Smith', 'Morty Smith', 'Hemorrhage', 'Gwendolyn', 'Morty Jr.', 'Jacob Philip', 'Jerry Smith (Cronenberged dimension)']",Human,Earth (C-137),Male,Alive
261,Lighthouse Keeper,https://rickandmorty.fandom.com/wiki/Lighthouse_Keeper,"['Rick Sanchez', 'Morty Smith']",Alien,Purge Planet,Male,Dead
262,Lil B,https://rickandmorty.fandom.com/wiki/Lil_B,"['Birdperson', 'Tammy Guterman', 'Rick Sanchez']",Alien,unknown,Male,Dead
263,Lisa,https://rickandmorty.fandom.com/wiki/Lisa,[],Alien,unknown,Female,Dead
264,Little Dipper,https://rickandmorty.fandom.com/wiki/Little_Dipper,[],Humanoid,unknown,Male,Alive
265,Little Ricky Wrap-it-up,https://rickandmorty.fandom.com/wiki/Little_Ricky_Wrap-it-up,"['Rick Sanchez', 'Ricardo Montoya', 'Hothead Rick', 'Big Fat Rick']",unknown,unknown,Genderless,unknown
266,Lizard Morty,https://rickandmorty.fandom.com/wiki/Lizard_Morty,"['Morty Smith', 'Slick Morty', 'Glasses Morty', 'Farmer Rick', 'Lizard Rick']",Humanoid,unknown,Male,Alive
267,Lizard Rick,https://rickandmorty.fandom.com/wiki/Lizard_Rick,"['Rick Sanchez', 'Lizard Morty']",unknown,unknown,Genderless,unknown
268,Loggins,https://rickandmorty.fandom.com/wiki/Loggins,[],Alien,unknown,Male,Alive
269,Logic,https://rickandmorty.fandom.com/wiki/Logic,"['Rick Sanchez', 'Noob-Noob']",Human,unknown,Male,Alive
270,Long Sleeved Morty,https://rickandmorty.fandom.com/wiki/Long_Sleeved_Morty,['Morty Smith'],Human,unknown,Male,unknown
271,Lord Henderfinger,https://rickandmorty.fandom.com/wiki/Lord_Henderfinger,"['Armothy', 'Morty Smith', 'Rick Sanchez', 'Taint Washer', 'Genital Washer']",unknown,unknown,Genderless,unknown
272,Lucius Needful,https://rickandmorty.fandom.com/wiki/Lucius_Needful,['Rick Sanchez'],unknown,unknown,Genderless,unknown
273,Lucy,https://rickandmorty.fandom.com/wiki/Lucy,[],Human,Earth (Replacement Dimension),Female,Dead
274,Maggie,https://rickandmorty.fandom.com/wiki/Maggie,"['Jeff', 'Running Bird']",Human,Earth (Replacement Dimension),Female,Alive
275,Magnesium-J,https://rickandmorty.fandom.com/wiki/Magnesium-J,"['Hydrogen-F', 'Helium-Q', 'Water-T', 'Cromulons', 'Numbericons']",Alien,Alphabetrium,Male,Alive
276,Man Painted Silver Who Makes Robot Noises,https://rickandmorty.fandom.com/wiki/Man_Painted_Silver_Who_Makes_Robot_Noises,"['Piece of Toast', 'Two Guys with Handlebar Mustaches', 'Garmanarnar', 'Three Unknown Things', 'Hole in the Wall Where the Men Can See it All', 'Bobby Moynihan']",Human,unknown,Male,Alive
277,Mar-Sha,https://rickandmorty.fandom.com/wiki/Mar-Sha,"['Gazorpians', 'Rick Sanchez']",unknown,unknown,Genderless,unknown
278,Masy Kallerax,https://rickandmorty.fandom.com/wiki/Masy_Kallerax,"['Unity', 'Nippalians']",unknown,unknown,Genderless,unknown
279,Maximums Rickimus,https://rickandmorty.fandom.com/wiki/Maximums_Rickimus,"['Council of Ricks', 'Rick Sanchez', 'Riq IV', 'Rick Prime', 'Quantum Rick', 'Zeta Alpha Rick', 'Ricktiminus Sancheziminius', 'The Scientist Formerly Known as Rick', 'Evil Rick Sanchez', 'Morty Smith', 'SEAL Team Ricks']",Human,unknown,Male,Dead
280,MC Haps,https://rickandmorty.fandom.com/wiki/MC_Haps,"['Morty Smith', 'Squanchy', 'Logic']",Human,Earth (C-137),Male,Alive
281,McGlaargle,https://rickandmorty.fandom.com/wiki/McGlaargle,"['Gromflomites', 'Smarkians', 'Amfiddians']",unknown,unknown,Genderless,unknown
282,Mecha Morty (Fortnite),https://rickandmorty.fandom.com/wiki/Mecha_Morty_(Fortnite),[],unknown,unknown,Genderless,unknown
283,Mechanical Morty,https://rickandmorty.fandom.com/wiki/Mechanical_Morty,"['Robot Morty', 'Rick Sanchez', 'Mechanical Rick', 'Mechanical Summer', 'Morty Smith']",Robot,Earth (Replacement Dimension),Male,Dead
284,Mechanical Rick,https://rickandmorty.fandom.com/wiki/Mechanical_Rick,"['Robot Rick', 'Rick Sanchez', 'Beth Smith']",Robot,Earth (Replacement Dimension),Male,unknown
285,Mechanical Summer,https://rickandmorty.fandom.com/wiki/Mechanical_Summer,"['Summer Smith', 'Rick Sanchez', 'Beth Smith']",Robot,Earth (Replacement Dimension),Female,unknown
286,Memory Parasites,https://rickandmorty.fandom.com/wiki/Memory_Parasites,"['Steven Smith', 'Cousin Nicky', 'Mr. Beauregard', 'Sleepy Gary', 'Morty Smith', 'Beth Smith', 'Rick Sanchez', 'Summer Smith', ""Frankenstein's Monster"", 'Photography Raptor', 'Pencilvester', 'Tinkles', 'Hamurai', 'Amish Cyborg', 'Reverse Giraffe', 'Ghost in a Jar', 'Baby Wizard', 'Mrs. Refrigerator', 'Bearded Lady', 'Duck with Muscles']",unknown,unknown,Genderless,unknown
287,Michael (The ABC's of Beth),https://rickandmorty.fandom.com/wiki/Michael_(The_ABC%27s_of_Beth),['Jerry Smith'],unknown,unknown,Genderless,unknown
288,Michael Denny and the Denny Singers,https://rickandmorty.fandom.com/wiki/Michael_Denny_and_the_Denny_Singers,['Trunk People'],Human,unknown,Male,Alive
289,Michael Jenkins,https://rickandmorty.fandom.com/wiki/Michael_Jenkins,[],Human,unknown,Male,Dead
290,Michael McLick,https://rickandmorty.fandom.com/wiki/Michael_McLick,['Randy Dicknose'],Human,unknown,Male,Alive
291,Michael Thompson,https://rickandmorty.fandom.com/wiki/Michael_Thompson,['Pichael Thompson'],Humanoid,unknown,Male,Alive
292,Miggs,https://rickandmorty.fandom.com/wiki/Miggs,"['Gromflomites', 'Rick Sanchez', 'Mr. Meeseeks', 'Morty Smith', 'Summer Smith']",unknown,unknown,Genderless,unknown
293,Miles Knightly,https://rickandmorty.fandom.com/wiki/Miles_Knightly,['Rick Sanchez'],Alien,unknown,Male,Dead
294,Million Ants,https://rickandmorty.fandom.com/wiki/Million_Ants,"['Supernova', 'Rick Sanchez', 'Alan Rails']",Animal,unknown,Male,Dead
295,Mitch,https://rickandmorty.fandom.com/wiki/Mitch,"['Morty Smith', 'Frank Palicky', 'Summer Smith (Cronenberged dimension)', 'Jerry Smith (Cronenberged dimension)', 'Principal Vagina', 'Toxic Morty']",Human,Earth (Replacement Dimension),Male,Alive
296,Morty Jr.,https://rickandmorty.fandom.com/wiki/Morty_Jr.,"['Morty Smith', 'Cronenberg Morty', 'Gazorpians', 'Gwendolyn', 'Jerry Smith', 'Beth Smith', 'Hemorrhage', 'Summer Smith', 'Naruto Smith', 'Leonard Smith', 'Joyce Smith', 'Unnamed Uncle', 'Rick Sanchez', 'Diane Sanchez', ""Rick's Father""]",Humanoid,Earth (Replacement Dimension),Male,Alive
297,Morty Rick,https://rickandmorty.fandom.com/wiki/Morty_Rick,"['Rick Sanchez', 'Morty Smith', 'Tiny Rick']",Human,unknown,Male,unknown
298,Morty Smith (304-X),https://rickandmorty.fandom.com/wiki/Morty_Smith_(304-X),"['Jerry Smith (304-X)', 'Beth Smith (304-X)', 'Summer Smith (304-X)', 'Morty Smith (C-132)', 'Rick Sanchez (C-132)', 'Rick Sanchez', 'Summer Smith', 'Jerry Smith', 'Beth Smith']",unknown,unknown,Genderless,unknown
